Property_Type,Transaction_Type,Location,latitude,longitude,Price,Area_sqft,Price_per_sqft,area_type,Construction_Status,Age_in_Years,Possession_Date,Furnishing_Status,Zoning,Facing,Overlooking,Pantry,Water_Availability_Status,Washrooms,Floor_Number,Total_Floors,Covered_Parking,Open_Parking,Open_Sides,Plot_Length,Plot_Breadth,Entrance_Width_ft,Road_Width_m
shop,sale,sector 7 dwarka new delhi,28.5592725,77.0666248,17500000.0,720.0,24305.56,Carpet Area,Ready to Move,12.5,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,24Hours,2.0,0.0,3.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,beta 2 greater noida,28.4848659,77.5134595,6500000.0,450.0,14444.44,Super Area,Ready to Move,-1.0,Not Specified,Semi-Furnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,delhi gurgaon expressway gurgaon,28.4831817,76.9873663,5500000.0,650.0,8461.54,Super Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Main Road,Personal Pantry/Cafeteria,NotSpecified,1.0,1.0,4.0,0,10,1.0,40.0,85.0,12.0,24.0
land,sale,manglapuri new delhi,28.5016212,77.1663523,55000000.0,1800.0,30555.56,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,ramesh nagar new delhi,28.6356772,77.2700229,7600000.0,936.0,8119.66,Super Area,Ready to Move,12.5,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,1.0,1.0,5.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,sector 71 gurgaon,28.4064564,77.0233125,7000000.0,700.0,10000.0,Carpet Area,Ready to Move,2.5,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,goutam buddh nagar noida,28.5706333,77.3272147,,,0.0,Carpet Area,Ready to Move,-1.0,Not Specified,Furnished,Not Specified,East,Not Specified,Not Specified,NotSpecified,2.0,2.0,6.0,5,0,1.0,40.0,85.0,12.0,24.0
office space,sale,sector 81 faridabad,28.31551,77.3011467,4700000.0,492.0,9552.85,Super Area,Ready to Move,2.5,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,1.0,7.0,10.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,sector 140 noida,28.5705399,77.3228931,4800000.0,550.0,8727.27,Carpet Area,Under Construction,-1.0,Jun '26,Not Specified,Not Specified,Not Specified,Main Road,Wet Pantry/Cafeteria,NotSpecified,2.0,10.0,24.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,sector 70 gurgaon,28.3947261,77.0223138,11500000.0,175.0,65714.29,Carpet Area,Ready to Move,2.5,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
office in it park/ sez,sale,block b sector 132 noida,28.471193,77.5317434,19000000.0,1723.0,11027.28,Carpet Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Main Road,Wet Pantry/Cafeteria,NotSpecified,3.0,1.0,4.0,1,0,1.0,40.0,85.0,12.0,24.0
industrial land,sale,block d sector 6 noida,28.4591775,77.5352194,50000000.0,2260.0,22123.89,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,90.8,24.9,12.0,24.0
shop,sale,sector 82 gurgaon,28.3931076,76.9588762,8000000.0,351.0,22792.02,Super Area,Ready to Move,-1.0,Not Specified,Furnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,5.0,5.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,saket new delhi,28.5234897,77.209631,20000000.0,737.0,27137.04,Super Area,Ready to Move,-1.0,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,3.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,crossings republik ghaziabad,28.6284686,77.434157,4500000.0,320.0,14062.5,Super Area,Ready to Move,-1.0,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,6.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,pataudi road gurgaon,28.347879,76.7522376,8000000.0,235.0,34042.55,Super Area,Ready to Move,-1.0,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,8.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,rajendra nagar ghaziabad,28.679745,77.3576545,4200000.0,156.0,26923.08,Super Area,Ready to Move,2.5,Not Specified,Semi-Furnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,2.0,4.0,10,0,1.0,40.0,85.0,12.0,24.0
industrial land,sale,sector 35 gurgaon,28.4145669,77.0018689,250000000.0,54000.0,4629.63,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,300.0,180.0,12.0,24.0
shop,sale,shramik kunj sector 110 noida,28.5706333,77.3272147,12500000.0,207.0,60386.47,Super Area,Ready to Move,0.0,Not Specified,Unfurnished,Commercial,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,2.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,gaur city 1 greater noida,28.4670734,77.5137649,3500000.0,100.0,35000.0,Super Area,Ready to Move,-1.0,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,sarfabad noida,28.5895831,77.3871884,4000000.0,109.0,36697.25,Carpet Area,Ready to Move,7.5,Not Specified,Unfurnished,Not Specified,North,Not Specified,Not Specified,NotSpecified,2.0,0.0,5.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,noida express way noida,28.5706333,77.3272147,9400000.0,300.0,31333.33,Super Area,Ready to Move,0.0,Not Specified,Furnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,4.0,0,0,1.0,40.0,85.0,8.0,24.0
shop,sale,sector 47 gurgaon,28.4251572,77.0475128,6800000.0,450.0,15111.11,Super Area,Ready to Move,7.5,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,5.0,0,0,1.0,40.0,85.0,12.0,24.0
land,sale,chander nagar krishna nagar new delhi,28.6328027,77.2197713,8500000.0,4320.0,1967.59,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,West,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,chand bagh new delhi,28.6328027,77.2197713,3200000.0,120.0,26666.67,Carpet Area,Ready to Move,2.5,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,24Hours,2.0,0.0,5.0,0,0,1.0,40.0,85.0,12.0,24.0
showroom,sale,sector 29 gurgaon,28.4669197,77.0671306,10000000.0,200.0,50000.0,Carpet Area,Under Construction,-1.0,Aug '27,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,24Hours,2.0,1.0,6.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,east punjabi bagh new delhi,28.6328027,77.2197713,6000000.0,900.0,6666.67,Carpet Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,East,Garden/Park,Not Specified,NotSpecified,1.0,1.0,4.0,0,1,1.0,40.0,85.0,12.0,24.0
office space,sale,greater noida west link road greater noida,28.5642539,77.4739447,3500000.0,414.0,8454.11,Super Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,8.0,23.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,sector 14 gurgaon,28.473784,77.0471827,24300000.0,973.0,24974.31,Super Area,Under Construction,-1.0,Jun '30,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,noida express way noida,28.5706333,77.3272147,4000000.0,320.0,12500.0,Super Area,Ready to Move,-1.0,Not Specified,Semi-Furnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,1.0,2.0,13.0,0,0,1.0,40.0,85.0,12.0,24.0
showroom,sale,delhi gurgaon expressway gurgaon,28.4831817,76.9873663,16500000.0,847.0,19480.52,Super Area,Ready to Move,-1.0,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,2.0,0,0,1.0,40.0,85.0,12.0,24.0
showroom,sale,rani bagh pitam pura new delhi,28.6328027,77.2197713,25000000.0,350.0,71428.57,Carpet Area,Ready to Move,7.5,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,24Hours,2.0,0.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,new arya nagar ghaziabad,28.6786424,77.4240727,2400000.0,295.0,8135.59,Super Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,1.0,1.0,2.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,nh 24 noida,28.5706333,77.3272147,47000000.0,4720.0,9957.63,Super Area,Ready to Move,12.5,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,4.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
land,sale,nh 24 noida,28.5706333,77.3272147,300000000.0,44480.0,6744.6,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
industrial building,sale,nh 24 noida,28.5706333,77.3272147,220000000.0,50000.0,4400.0,Super Area,Ready to Move,2.5,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
industrial land,sale,nh 24 noida,28.5706333,77.3272147,100000000.0,10760.0,9293.68,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,delhi gurgaon expressway gurgaon,28.4831817,76.9873663,22799999.0,1635.0,13944.95,Super Area,Ready to Move,-1.0,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,1.0,11.0,22.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,west patel nagar new delhi,28.6474846,77.1648807,25000000.0,900.0,27777.78,Carpet Area,Ready to Move,17.5,Not Specified,Semi-Furnished,Not Specified,North - East,Not Specified,Not Specified,NotSpecified,2.0,0.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
industrial building,sale,sector 9 noida,28.5868527,77.3273926,55000000.0,600.0,91666.67,Super Area,Ready to Move,7.5,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
land,sale,badkhal road faridabad,28.4128345,77.2889358,44000000.0,87120.0,505.05,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,ecotech 2 greater noida,28.5706333,77.3272147,1200000.0,100.0,12000.0,Super Area,Ready to Move,2.5,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,2.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
industrial land,sale,ecotech 2 greater noida,28.5706333,77.3272147,25000000.0,22070.0,1132.76,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
land,sale,maruti kunj gurgaon,28.3585156,77.0797901,7320000.0,1197.0,6115.29,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Commercial,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,noida express way noida,28.5706333,77.3272147,8900000.0,1190.0,7478.99,Super Area,Under Construction,-1.0,Jun '30,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,1.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,sector 88a gurgaon,28.4337898,76.9539433,7000000.0,163.0,42944.79,Carpet Area,Under Construction,-1.0,Feb '26,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,24Hours,2.0,0.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
office in it park/ sez,sale,sector 90 noida,28.5122394,77.4142559,3900000.0,300.0,13000.0,Carpet Area,Ready to Move,-1.0,Not Specified,Unfurnished,Not Specified,Not Specified,Garden/Park,Not Specified,NotSpecified,2.0,10.0,25.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,noida extension noida,28.5706333,77.3272147,70000000.0,2800.0,25000.0,Super Area,Under Construction,-1.0,Jun '27,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
land,sale,sector 113 gurgaon,28.5286649,77.0250282,110000000.0,1161.0,94745.91,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,60.0,180.0,12.0,24.0
industrial building,sale,surajpur site 5 greater noida,28.5706333,77.3272147,22500000.0,5000.0,4500.0,Super Area,Ready to Move,2.5,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
industrial land,sale,surajpur site 5 greater noida,28.5706333,77.3272147,7500000.0,5705.0,1314.64,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,sector 3 vasundhara ghaziabad,28.6653607,77.3828441,6500000.0,220.0,29545.45,Super Area,Ready to Move,-1.0,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,24Hours,2.0,0.0,14.0,0,1,1.0,40.0,85.0,12.0,24.0
office space,sale,sector 56 gurgaon,28.4253232,77.0985157,5000000.0,531.0,9416.2,Super Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Main Road,Dry Pantry/Cafeteria,NotSpecified,2.0,3.0,8.0,1,0,1.0,40.0,85.0,12.0,24.0
office space,sale,west patel nagar new delhi,28.6474846,77.1648807,100000000.0,2250.0,44444.44,Super Area,Ready to Move,-1.0,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,1.0,0,0,1.0,40.0,85.0,12.0,24.0
industrial land,sale,yamuna expressway greater noida,28.406404,77.520785,27000000.0,4844.0,5573.91,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,98.4,49.2,12.0,24.0
shop,sale,sector 15 noida,28.5827978,77.3102221,4800000.0,250.0,19200.0,Carpet Area,Ready to Move,12.5,Not Specified,Furnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,3.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,vikas marg new delhi,28.6328027,77.2197713,25000000.0,170.0,147058.82,Carpet Area,Ready to Move,25.0,Not Specified,Semi-Furnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,1.0,0,0,1.0,40.0,85.0,12.0,24.0
industrial building,sale,surajpur site 5 greater noida,28.5706333,77.3272147,39500000.0,6458.34,6116.12,Super Area,Ready to Move,0.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
industrial land,sale,surajpur site 5 greater noida,28.5706333,77.3272147,18000000.0,6459.0,2786.81,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
industrial shed,sale,surajpur site 5 greater noida,28.5706333,77.3272147,25000000.0,10763.9,2322.58,Super Area,Ready to Move,2.5,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,sector 27 greater noida,28.4742779,77.5320125,9000000.0,332.0,27108.43,Super Area,Ready to Move,-1.0,Not Specified,Semi-Furnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,sohna road gurgaon,28.3799384,77.0545096,9900000.0,500.0,19800.0,Carpet Area,Ready to Move,0.0,Not Specified,Semi-Furnished,Not Specified,Not Specified,Not Specified,Not Specified,24Hours,2.0,0.0,6.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,nehru nagar ghaziabad,28.6659233,77.3235337,8500000.0,225.0,37777.78,Carpet Area,Ready to Move,7.5,Not Specified,Furnished,Not Specified,Not Specified,Not Specified,Not Specified,24Hours,2.0,0.0,2.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,bhutani cyberthum greater noida,28.5706333,77.3272147,3000000.0,153.0,19607.84,Carpet Area,Under Construction,-1.0,Sep '25,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,-1.0,1.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,janakpuri new delhi,28.6210821,77.0911087,40000000.0,11.0,3636363.64,Carpet Area,Ready to Move,25.0,Not Specified,Semi-Furnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,3.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,pitam pura new delhi,28.6328027,77.2197713,170000000.0,3000.0,56666.67,Carpet Area,Ready to Move,-1.0,Not Specified,Furnished,Not Specified,Not Specified,Not Specified,Wet Pantry/Cafeteria,NotSpecified,6.0,5.0,18.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,lodhi road new delhi,28.589425,77.212901,600000000.0,9000.0,66666.67,Carpet Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Garden/Park,Wet Pantry/Cafeteria,NotSpecified,4.0,0.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,subhash nagar new delhi,28.6328027,77.2197713,7000000.0,300.0,23333.33,Carpet Area,Ready to Move,12.5,Not Specified,Semi-Furnished,Not Specified,Not Specified,Not Specified,Not Specified,24Hours,2.0,1.0,3.0,0,0,1.0,40.0,85.0,12.0,24.0
industrial building,sale,phase 5 udyog vihar gurgaon,28.5048174,77.0839702,92500000.0,7000.0,13214.29,Super Area,Ready to Move,7.5,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,noida express way noida,28.5706333,77.3272147,14400000.0,1441.0,9993.06,Super Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,12.0,32.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,phase 2 mayapuri industrial area new delhi,28.6328027,77.2197713,9500000.0,1890.0,5026.46,Carpet Area,Ready to Move,-1.0,Not Specified,Unfurnished,Not Specified,Not Specified,Garden/Park,Not Specified,NotSpecified,1.0,4.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
industrial building,sale,patparganj new delhi,28.6328027,77.2197713,115000000.0,12000.0,9583.33,Super Area,Ready to Move,7.5,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,rajouri garden new delhi,28.6484714,77.1204602,5500000.0,720.0,7638.89,Super Area,Ready to Move,-1.0,Not Specified,Semi-Furnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,1.0,2.0,3.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,sector 75 noida,28.4716932,77.5313411,7500000.0,290.0,25862.07,Super Area,Ready to Move,2.5,Not Specified,Unfurnished,Not Specified,East,Not Specified,Not Specified,NotSpecified,2.0,2.0,14.0,0,0,1.0,40.0,85.0,12.0,24.0
industrial building,sale,bawana new delhi,28.6328027,77.2197713,60000000.0,7750.01,7741.93,Super Area,Ready to Move,2.5,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
industrial land,sale,mundka new delhi,28.6328027,77.2197713,6800000.0,1017.0,6686.33,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
industrial land,sale,bhora kalan gurgaon,28.4646148,77.0299194,9000000.0,5400.0,1666.67,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
land,sale,sector 10 gurgaon,28.4445813,77.0060231,8500000.0,900.0,9444.44,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Industrial,East,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,45.0,20.0,12.0,24.0
shop,sale,prohect greater noida,28.5706333,77.3272147,2400000.0,158.0,15189.87,Super Area,Ready to Move,-1.0,Not Specified,Furnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,2.0,24.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,bhangel salarpur khadar noida,28.5706333,77.3272147,12200000.0,280.0,43571.43,Carpet Area,Ready to Move,0.0,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,3.0,0,0,1.0,40.0,85.0,13.0,24.0
shop,sale,dwarka new delhi,28.574272,77.0653316,8500000.0,300.0,28333.33,Super Area,Ready to Move,-1.0,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,south extension 1 new delhi,28.5677958,77.2246313,45000000.0,3240.0,13888.89,Super Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Personal Pantry/Cafeteria,NotSpecified,2.0,0.0,2.0,0,2,1.0,40.0,85.0,12.0,24.0
office space,sale,okhla phase 1 new delhi,28.5470861,77.3135343,21000000.0,800.0,26250.0,Carpet Area,Ready to Move,7.5,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,1.0,4.0,7.0,0,0,1.0,40.0,85.0,12.0,24.0
